2021 super output area - middle layer,mnemonic,population density
Bradford 010,E02002192,615.6
Bradford 011,E02002193,2130
Bradford 012,E02002194,3951.1
Bradford 013,E02002195,853.8
Bradford 014,E02002196,461.9
Bradford 015,E02002197,1067.7
Bradford 016,E02002198,3257.2
Bradford 017,E02002199,811.7
Bradford 018,E02002200,1845.7
Bradford 019,E02002201,4494.4
Bradford 020,E02002202,2872.6
Bradford 021,E02002203,3405.8
Bradford 022,E02002204,1076.3
Bradford 023,E02002205,195.8
Bradford 024,E02002206,4755
Bradford 025,E02002207,5703.7
Bradford 026,E02002208,5420.2
Bradford 027,E02002209,4433.7
Bradford 028,E02002210,5525
Bradford 029,E02002211,3469.7
Bradford 030,E02002212,3747.1
Bradford 031,E02002213,347
Bradford 032,E02002214,6312.7
Bradford 033,E02002215,9834.1
Bradford 034,E02002216,5811.2
Bradford 035,E02002217,5234.3
Bradford 036,E02002218,3193.2
Bradford 037,E02002219,10601
Bradford 038,E02002220,7210.3
Bradford 040,E02002222,5192.9
Bradford 041,E02002223,3804.8
Bradford 042,E02002224,10455.2
Bradford 043,E02002225,706.8
Bradford 044,E02002226,7761.2
Bradford 045,E02002227,2872
Bradford 046,E02002228,3032.4
Bradford 047,E02002229,2116.7
Bradford 048,E02002230,6082.1
Bradford 049,E02002231,4837.3
Bradford 050,E02002232,6909
Bradford 051,E02002233,11321.4
Bradford 052,E02002234,4647.1
Bradford 053,E02002235,4294.5
Bradford 054,E02002236,5652.2
Bradford 055,E02002237,6180.7
Bradford 056,E02002238,5885.6
Bradford 057,E02002239,886.2
Bradford 058,E02002240,1595.7
Bradford 059,E02002241,4407.6
Bradford 060,E02002242,2059.1
Bradford 061,E02002243,1716.7
Bradford 062,E02006945,246.8
Bradford 063,E02006946,2797.1
Bradford 064,E02006947,5398.9
Bradford 065,E02006948,5284.4
Kirklees 001,E02002271,1123.9
Kirklees 002,E02002272,1794
Kirklees 003,E02002273,855.8
Kirklees 004,E02002274,1928
Kirklees 005,E02002275,3453.6
Kirklees 006,E02002276,2536.3
Kirklees 007,E02002277,1677.8
Kirklees 008,E02002278,2148.6
Kirklees 009,E02002279,2012.8
Kirklees 010,E02002280,4570.7
Kirklees 011,E02002281,5145.4
Kirklees 012,E02002282,6503.1
Kirklees 013,E02002283,4439.8
Kirklees 014,E02002284,2160.2
Kirklees 015,E02002285,981.1
Kirklees 016,E02002286,4265.3
Kirklees 017,E02002287,3838.1
Kirklees 018,E02002288,3277.6
Kirklees 019,E02002289,3455.4
Kirklees 020,E02002290,1772.8
Kirklees 021,E02002291,3035.2
Kirklees 022,E02002292,1067.2
Kirklees 023,E02002293,3663
Kirklees 024,E02002294,3236.1
Kirklees 025,E02002295,2641.5
Kirklees 026,E02002296,885.7
Kirklees 027,E02002297,1506.5
Kirklees 028,E02002298,691.7
Kirklees 029,E02002299,1787
Kirklees 030,E02002300,3307.7
Kirklees 031,E02002301,7191.8
Kirklees 032,E02002302,719.6
Kirklees 033,E02002303,4319.1
Kirklees 034,E02002304,4037.2
Kirklees 035,E02002305,3423.4
Kirklees 036,E02002306,845.5
Kirklees 037,E02002307,2433.6
Kirklees 038,E02002308,2955.2
Kirklees 039,E02002309,3613.6
Kirklees 040,E02002310,4786.1
Kirklees 041,E02002311,3119.7
Kirklees 042,E02002312,2828.7
Kirklees 043,E02002313,7584.5
Kirklees 044,E02002314,1424.8
Kirklees 045,E02002315,2783.5
Kirklees 046,E02002316,448.6
Kirklees 047,E02002317,3585.8
Kirklees 048,E02002318,1916.4
Kirklees 049,E02002319,1195
Kirklees 050,E02002320,1076.9
Kirklees 051,E02002321,355
Kirklees 052,E02002322,122.8
Kirklees 053,E02002323,726.6
Kirklees 054,E02002324,371.1
Kirklees 055,E02002325,387.4
Kirklees 056,E02002326,446.9
Kirklees 057,E02002327,429.2
Kirklees 058,E02002328,204.9
Kirklees 059,E02002329,465.1
