2021 super output area - middle layer,mnemonic,Total,No cars or vans in household,1 or more cars or vans in household
Bradford 002,E02002184,5832,1034,4798
Bradford 003,E02002185,2516,342,2174
Bradford 005,E02002187,2613,259,2354
Bradford 006,E02002188,3193,374,2819
Bradford 007,E02002189,2275,489,1786
Bradford 008,E02002190,4262,1511,2751
Bradford 009,E02002191,3698,1413,2285
Bradford 010,E02002192,4021,536,3485
Bradford 011,E02002193,3087,1328,1759
Bradford 012,E02002194,3193,846,2347
Bradford 013,E02002195,2871,362,2509
Bradford 014,E02002196,2712,443,2269
Bradford 015,E02002197,4153,1172,2981
Bradford 016,E02002198,3945,914,3031
Bradford 017,E02002199,3266,449,2817
Bradford 018,E02002200,3963,845,3118
Bradford 019,E02002201,5430,1271,4159
Bradford 020,E02002202,3776,1484,2292
Bradford 021,E02002203,3536,1220,2316
Bradford 022,E02002204,5070,743,4327
Bradford 023,E02002205,4570,711,3859
Bradford 024,E02002206,3563,794,2769
Bradford 025,E02002207,2389,704,1685
Bradford 026,E02002208,3498,1042,2456
Bradford 027,E02002209,2599,844,1755
Bradford 028,E02002210,2847,565,2282
Bradford 029,E02002211,2104,429,1675
Bradford 030,E02002212,2726,677,2049
Bradford 031,E02002213,3382,497,2885
Bradford 032,E02002214,2542,526,2016
Bradford 033,E02002215,2882,815,2067
Bradford 034,E02002216,2947,1256,1691
Bradford 035,E02002217,3313,1186,2127
Bradford 036,E02002218,3894,1043,2851
Bradford 037,E02002219,2250,838,1412
Bradford 038,E02002220,2610,753,1857
Bradford 040,E02002222,3095,968,2127
Bradford 041,E02002223,2275,867,1408
Bradford 042,E02002224,2909,1096,1813
Bradford 043,E02002225,3649,733,2916
Bradford 044,E02002226,3744,1672,2072
Bradford 045,E02002227,2334,1199,1135
Bradford 046,E02002228,3080,1294,1786
Bradford 047,E02002229,3302,828,2474
Bradford 048,E02002230,2807,1335,1472
Bradford 049,E02002231,4553,1117,3436
Bradford 050,E02002232,2586,1029,1557
Bradford 051,E02002233,2756,1059,1697
Bradford 052,E02002234,3202,1667,1535
Bradford 053,E02002235,2354,892,1462
Bradford 054,E02002236,2558,639,1919
Bradford 055,E02002237,3349,762,2587
Bradford 056,E02002238,2595,920,1675
Bradford 057,E02002239,4338,1065,3273
Bradford 058,E02002240,4983,930,4053
Bradford 059,E02002241,5083,1412,3671
Bradford 060,E02002242,3514,706,2808
Bradford 061,E02002243,4182,1147,3035
Bradford 062,E02006945,3814,501,3313
Bradford 063,E02006946,2458,465,1993
Bradford 064,E02006947,3380,1770,1610
Bradford 065,E02006948,2685,1762,923
Calderdale 001,E02002244,2636,528,2108
Calderdale 002,E02002245,2254,804,1450
Calderdale 003,E02002246,4274,641,3633
Calderdale 004,E02002247,4282,925,3357
Calderdale 005,E02002248,3349,1060,2289
Calderdale 006,E02002249,2406,945,1461
Calderdale 007,E02002250,3868,732,3136
Calderdale 008,E02002251,4259,1969,2290
Calderdale 009,E02002252,2815,506,2309
Calderdale 010,E02002253,3001,935,2066
Calderdale 011,E02002254,2707,324,2383
Calderdale 012,E02002255,2401,1067,1334
Calderdale 013,E02002256,4237,1166,3071
Calderdale 014,E02002257,2139,755,1384
